Alimento,Quantidade,Calorias (kcal),Proteínas (g),Carboidratos (g),Gorduras (g)
ABACATE,100,177.00,1.80,6.40,16.00
ABACAXI,100,58.00,0.40,13.70,0.20
ABACAXI EM CALDA,100,122.00,0.44,29.77,0.18
ABOBORA COZIDA,100,70.00,1.80,14.70,0.45
ABOBORA REFOGADA,100,117.00,1.87,15.18,5.46
ABOBRINHA COZIDA,100,56.00,2.00,11.00,0.40
ABOBRINHA REFOGADA,100,103.00,2.07,11.48,5.41
ACARAJE,100,282.00,13.10,22.30,15.60
ACELGA,100,33.00,1.80,5.60,0.40
ACEROLA,100,32.00,0.20,7.30,0.20
ACHOCOLATADO DIETETICO GOLD,100,328.00,12.20,57.00,5.66
ACUCAR MASCAVO,100,369.00,0.40,90.60,0.50
AGRIAO,100,28.00,2.80,3.30,0.40
AGRIAO REFOGADO,100,75.00,2.87,3.78,5.41
AGUA DE COCO,100,18.00,0.13,4.13,0.12
AGUARDENTE,100,280.00,0.00,70.00,0.00
AIPIM COZIDO,100,120.00,0.60,28.90,0.20
AIPIM FRITO,100,356.00,1.20,55.20,14.50
ALFACE,100,19.00,1.30,2.90,0.20
ALHO,100,140.00,5.30,29.30,0.20
ALMONDEGA DE BOI,100,203.00,15.06,7.05,12.79
ALMONDEGA DE PERU SADIA,100,186.00,13.90,0.00,12.70
AMBROSIA,100,208.95,2.94,43.57,2.54
AMEIXA SECA,100,186.00,2.37,43.15,0.44
AMEIXA VERMELHA,100,54.00,0.00,13.50,0.00
AMENDOA,100,647.00,21.00,17.30,54.90
AMENDOIM CARAMELIZADO,100,469.00,8.10,73.80,15.70
AMENDOIM TORRADO COM SAL,100,638.00,23.20,21.70,50.90
ANGU,100,124.00,3.30,26.20,0.70
ARROZ À CARRETEIRO,100,412.80,30.39,23.93,21.75
ARROZ A GREGA,100,140.00,2.03,26.50,2.86
ARROZ COM PEQUI,100,244.16,4.53,47.95,3.77
ARROZ COZIDO,100,164.00,2.30,32.30,2.90
ARROZ DOCE,100,164.00,3.76,33.04,1.84
ARROZ INTEGRAL COZIDO,100,257.00,4.86,45.96,5.96
ASPARGO EM CONSERVA,100,22.00,1.90,2.90,0.30
ATUM EM CONSERVA,100,281.00,24.20,0.00,20.50
AVEIA EM FLOCOS,100,371.00,13.50,68.40,4.80
AVEIA FARINHA,100,396.00,14.20,68.20,7.40
AVELA,100,679.00,12.60,16.70,62.40
AZEITE DE DENDE,100,894.00,0.00,0.40,99.10
AZEITONA,100,133.00,1.30,2.00,13.30
BABA DE MOCA,100,500.00,4.26,88.41,14.34
BACALHAU COZIDO,100,147.00,34.80,0.00,0.84
BACON,100,661.00,8.40,1.00,69.30
BAIÃO-DE-DOIS,100,492.00,22.26,50.79,22.26
BANANA A MILANESA,100,251.00,2.70,29.70,13.50
BANANA D`AGUA,100,97.00,1.20,22.20,0.40
BANANA DA TERRA,100,117.00,2.20,26.60,0.20
BANANA DA TERRA FRITA,100,220.00,2.62,31.65,9.24
BANANA DA TERRA FRITA COM ACUCAR,100,243.00,2.31,39.87,8.21
BANANA MACA,100,111.00,1.70,25.70,0.20
BANANA OURO,100,104.00,2.40,22.80,0.30
